External_ID__c,Name__c
4Z8W4fKeB5YxbusRsdQVPb,Radiohead
3yY2gUcIsjMr8hjo51PoJ8,The Smiths
0epOFNiUfyON9EYx7Tpr6V,The Strokes
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie
22WZ7M8sxp5THdruNY3gXt,The Doors
3AA28KZvwAUcZuOKwyblJQ,Gorillaz
3iTsJGG39nMg9YiolUgLMQ,Morrissey
00FQb4jTyendYWaN8pK0wa,Lana Del Rey
432R46LaYsJZV2Gmc4jUV5,Joy Division
74XFHRwlV6OrjEM0A2NCMF,Paramore
3g2kUQ6tHLLbmkV7T4GPtL,Fiona Apple
42TFhl7WlMRXiNqzSrnzPL,Lou Reed
4F84IBURUo98rz4r61KF70,The White Stripes
2x9SpqnPi8rlE9pjHBwmSC,Talking Heads
762310PdDnwsDxAQxzQkfX,Depeche Mode
3dBVyJ7JuOMt4GE9607Qin,T. Rex

